Location,Latitude,Longitude
Baltata,47.05094293763527,29.050083189683452
Balti,47.754684393564034,27.916825385787416
Bravicea,47.366782940128935,28.432506179431034
Briceni,48.36288003077653,27.075032380597474
Cahul,45.89587821670957,28.19885661389993
Camenca,48.03105349508426,28.701019655723723
Chisinau,47.01177962031118,28.865726515527065
Ceadir_Lunga,46.0588197569459,28.82286695892455
Codrii,47.09680925565355, 28.31847003576232
Cornesti,46.30739009825426,28.65316133664547
Dubasari,47.2678005940447,29.15313109411811
Falesti,47.574754735481505,27.70663889832431
Leova,46.47799252068358,28.25498979540317
Ribnita,47.76667728180544,29.004066424073844
Soroca,48.154630967289236,28.287004711301734
Stefan-Comrat,46.3078644234607,28.650414754541647
Stefan-Voda,46.51520253986465,29.659094683580232
Tiraspol,46.84828951754601,29.5963196332319
